id,sum,text
1,40500,тур поездка
2,32600,оказание услуга
3,4710,штраф
4,30900,лечение
5,13200,основный долг период оао второй банк
6,4210,бульон роллтон домашний куриный amount_tag
7,4240,комиссионный вознаграждение валютный перевод
8,4630,государственный пошлина
9,8000,лечение
10,1310000,рамка договор финансовый аренда yes_nds_tag
11,11800,товарный накладный конфета алнка yes_nds_tag
12,3010,конфета milla vanilla трюфель классический amount_tag
13,9900,оказание прочих услуга
14,640,перевод собственный средство собственный счёт
15,910,сушёный вяленый рыба
16,24000,консультирование сфера информационный технология
17,3280,перевод средство собственный счёт
18,2310000,рамка договор финансовый аренда yes_nds_tag
19,1990,коммунальный услуга
20,4880000,окончательный расчёт акт приём передача договор лизинг yes_nds_tag
21,1960000,аванс гсм сумма yes_nds_tag
22,24500,программирование блок фара mercedes vin работа выполняться
23,2970,чернослив красный цена amount_tag
24,31100,комиссия обслуживание система клиент банк период no_nds_tag
25,740000,договор процентный заём no_nds_tag
26,4190000,предоплата раствор водный натриевый соль полиакриловый кислота yes_nds_tag
27,4160,перевод
28,22000,абхазсие мандарины yes_nds_tag
29,124000000,возврат денежный средство договор заём no_nds_tag
30,17100,товарой накладный штук пачка кофе lavaza yes_nds_tag
31,29200,размещение реклама
32,2440000,услуга yes_nds_tag перевозка груз
33,870000,договор процентный заём no_nds_tag
34,2580,конфета milla vanilla кокосовый стружка amount_tag
35,14800,основный долг период оао второй банк
36,21300,бронирование отель address_tag
37,25200,amount_tag согл amount_tag счёт фактура
38,31300,частичный костюм фаворит yes_nds_tag
39,135000000,счёт яхта катер midnight express fl
40,3600,грунт seasons универсальный amount_tag
41,49000,бухгалтерский сопровождение
42,31500,информационный услуга
43,4370,гос услуга
44,372000000,предоставление денежный средство договор заём no_nds_tag
45,14000,оказание прочих услуга
46,4350000,сырь пищевой промышленность yes_nds_tag
47,3300,мешок мусор liberhaus сверхпрочный amount_tag amount_tag
48,4590,печение юбилейный традиционный витаминизированное amount_tag
49,32300,комиссия акб первый банк ао выдача носитель ключ эп система интернет клиент no_nds_tag
50,4150000,нутсафлор yes_nds_tag
51,484000000,предвариельному квартира жк address_tag
52,1060,горбуша fish house натуральный amount_tag
53,970,очиститель tiret стиральный машина amount_tag
54,31600,мясной деликатес yes_nds_tag
55,3170000,окончательный расчёт акт приём передача договор лизинг yes_nds_tag
56,49800,лечение
57,425000000,предвариельному квартира жк address_tag
58,3060,комиссия справка движение счёт обороты письменный запрос клиент согласно
59,3310000,договор процентный заём no_nds_tag
60,296000000,возврат денежный средство договор заём no_nds_tag
61,3050,кислота красный цена уксусный пищевой amount_tag
62,20000,покупка авиабилет address_tag address_tag
63,4120000,сырь пищевой промышленность yes_nds_tag
64,26400,покупка авиабилет address_tag зуево address_tag
65,2630000,обеспечительный платёж вилла
66,1790,мицеллярная вода чистый линия цветочный amount_tag
67,740000,аванс гсм сумма yes_nds_tag
68,2170,перевод средство собственный счёт
69,1300,гос пошлина
70,36900,транспортировка перевозка транспорт address_tag address_tag
71,34900,алименты
72,2360000,договор процентный заём no_nds_tag
73,4920,минеральный питьевой вода no_nds_tag
74,690,лечо global village amount_tag
75,36600,алименты
76,3330000,договор процентный заём no_nds_tag
77,3210000,акт сверка рамка договор лизинг yes_nds_tag
78,3720,варение варенька клубничный amount_tag
79,2920000,сырье пвад yes_nds_tag
80,22900,обучение
81,1390,ролик econta чистка одежда ассортимент
82,3860,коммунальный услуга
83,1040000,договор процентный заём no_nds_tag
84,1120,заправка maggi борщ свекольный томатный пастеризованная amount_tag
85,4390,губка мытьё посуда econta maxi amount_tag
86,3560,зефир мармелад пастила
87,4120000,пополнение оборотный средство no_nds_tag
88,25100,октбяря пищев добавка ев курс yes_nds_tag
89,3590,чайный напиток greenfield cherry blossom аромат вишня amount_tag
90,3850000,рамка договор финансовый аренда yes_nds_tag
91,13800,комиссия обслуживание система клиент банк период no_nds_tag
92,2890000,акт сверка рамка договор лизинг yes_nds_tag
93,3690,туалетный бумага papia слой amount_tag
94,4290,масло global village виноградный рафинированный amount_tag
95,27800,red bull no_nds_tag
96,2590000,паевой взнос жилищно строительный кооператив цель приобретение право собственность жилой помещение address_tag
97,132000000,предвариельному квартира жк address_tag
98,12200,пищев добавка ев курс yes_nds_tag
99,4430,замороженная птица
100,4700000,покупка продовольственный товар
101,42200,аренда машина автомобиль
102,1130,гостиница россия address_tag
103,2370000,договор процентный заём no_nds_tag
104,30900,покупка авиабилет address_tag address_tag
105,28200,покупка непродовольственный товар связать предпринимательский деятельность
106,2790,полотенца бумажный tolli plus слой
107,3520,процент период
108,1560,антистатик лир amount_tag
109,4780000,дог финансовый аренда акт приём передача yes_nds_tag
110,4910,арома блок доместос арома люкс дуо сказочный аромат очищение унитаз amount_tag
111,20500,счёт фактура фитингиметизы yes_nds_tag
112,3050,государственный пошлина
113,3100,помада гигиенический evo пантенол amount_tag
114,16600,акт транспортный услуга налогандс
115,2670,порошок ушастый нянь стирка детский бельё amount_tag
116,1880,горох скайфуд колотый шлифованный amount_tag
117,64000000,возврат денежный средство договор заём no_nds_tag
118,630,контейнер полимербыт свч печь ассортимент amount_tag
119,10900,комиссия акб первый банк ао выдача носитель ключ эп система интернет клиент no_nds_tag
120,4270000,дог финансовый аренда акт приём передача yes_nds_tag
121,2550,налог
122,16200,ндс комиссия акб первый банк ао выполнение функция агент валютный контроль
123,4980000,предоставление кредит приобретение транспортный средство
124,800000,договор лизинг акт приём передача yes_nds_tag
125,1050000,предоставление кредит нецелевой кредит
126,3090,чай tess pleasure чёрный шиповник яблоком пакетиках amount_tag
127,4060000,нутсафлор yes_nds_tag
128,4940000,строительный работа address_tag
129,12200,бухгалтерский сопровождение
130,246000000,предоставление денежный средство договор заём no_nds_tag
131,670,яблоко фасованный
132,2370000,игристый вино asti договроу yes_nds_tag
133,25700,бухгалтерский сопровождение
134,3110,кисель вырасти вишня инстантный мес amount_tag
135,4860,салфетки tolli plus бумажный ассортимент amount_tag
136,21400,пищев добавка ев курс yes_nds_tag
137,3990,масло подсолнечный слобода рафинированный дезодорированное amount_tag
138,32700,red bull no_nds_tag
